PPP1R12A	RHOA
LNPEP	RAB8A
LNPEP	YKT6
LNPEP	STX4
LNPEP	RAB13
LNPEP	RAB10
LNPEP	VAMP2
LNPEP	RHOQ
LNPEP	RAB14
LNPEP	RAB28
LNPEP	TRIP10
PPP4R4	NCK1
TLR7	IL10
CSNK1E	GAPVD1
AAK1	NUMB
MEF2D	
MEF2D	CAMK2A
MEF2D	RAB28
MEF2D	CAMK2G
STK11	IPMK
STK11	NISCH
STK11	GOLGA2
IFNA6	PTPN11
IFNA6	PTPN1
IFNA6	PTPN6
FZD7	SDC4
FZD7	FN1
FZD7	SDCBP
FZD7	RAC2
FZD7	GNAS
ENSP00000417517	IL10
CHMP2B	STAM2
CHMP2B	HGS
CHMP2B	TSG101
CHMP2B	STAM
MMP9	LMAN1
IFNA8	IFNAR2
ROCK2	PPP1CA
ROCK2	PPP1CB
ROCK2	KIF5B
ROCK2	PPP1CC
ROCK2	PPP1R12A
CACNG2	CAMK2B
MYL12A	PPP1R12A
MYL12A	PPP1CB
MYL12A	PPP1CC
MYL12A	PPP1CA
SMAD7	ENG
LILRB2	CD14
LILRB2	TLR2
LILRB2	NCF2
TNS1	PPP1CA
ENG	FKBP1A
ENG	PPP1CA
PPP3R1	ITPR1
PPP3R1	ITPR3
PPP3R1	PLCG2
PPP3R1	NCK1
FGF10	WNT3A
NEDD4	EPS15
NEDD4	GRIA1
FZD4	GNAO1
FZD4	PRKCA
FZD4	PRKCG
FZD4	SLC9A3R1
FZD4	PRKCB
TNFRSF4	SORT1
CYTH2	ARF1
KAT2B	MYO1C
GIPC1	DNM1
GIPC1	MYO6
GIPC1	NGF
GIPC1	DAB2
GIPC1	APPL1
HDAC1	ITGA2B
HDAC1	BDNF
HDAC1	STAT5B
HDAC1	APPL1
HDAC1	STAT5A
HDAC1	LMO4
AMPH	CDC42
AMPH	WAS
AMPH	EGFR
AMPH	WASL
AMPH	EGF
AMPH	CDK5
IFNA14	IFNAR2
PREX1	EHBP1
NCSTN	EPHB1
NCSTN	EPHB2
NCSTN	SDC3
NCSTN	ERBB4
NCSTN	BSG
GNAT3	PLCB1
GNAT3	ITPR3
GNAT3	ITPR2
GNAT3	
GNAT3	ITPR1
CAV3	CACNA1C
CAV3	CACNA1D
CAV3	CALM2
CAV3	CACNA1E
CAV3	AKAP5
IFNA4	IFNAR2
IFNA16	IFNAR2
RELN	PAFAH1B1
CDK1	PI4KA
CDK1	USO1
CDK1	GORASP1
CDK1	RAB1B
CDK1	RAB1A
CDK1	GOLGA2
CDK1	CUX1
PPP2R2D	NCK1
GNAL	ESR1
GNAL	ESR2
CDC25C	CAMK2A
TGFBRAP1	TGFB1
TGFBRAP1	TGFBR2
TGFBRAP1	SMAD4
TGFBRAP1	SMAD2
TGFBRAP1	TGFB3
ROCK1	PPP1CA
ROCK1	PPP1R12A
CDK5	C2CD5
CDK5	PAFAH1B1
CDK5	GOLGA2
CDK5	SYN1
INPP5A	PTEN
INPP5A	PLCG1
CHMP7	TSG101
CHMP7	HGS
CHMP7	STAM
CHMP7	STAM2
ITSN2	CDC42
ITSN2	WAS
ITSN2	EPS8
ITSN2	NUMB
NOTCH3	RAB6A
NOTCH3	TMED2
RALB	EXOC4
RALB	EXOC2
RALB	EXOC8
RALB	EXOC7
RHOQ	WAS
RHOQ	CRKL
RHOQ	ARHGDIA
RHOQ	PRKCZ
RHOQ	SORBS1
RHOQ	WASL
RHOQ	CBL
RHOQ	PARD6A
RHOQ	RAPGEF1
RHOQ	SH2B2
RHOQ	F2RL2
RHOQ	PRKCI
RHOQ	CRK
EPB41L1	SLC12A5
EPB41L1	CAMK2D
SOCS6	
SOCS6	UBA52
SOCS6	UBB
SOCS6	RPS27A
PRRT2	VAMP2
PRRT2	SYT1
PRRT2	GRIA1
PRRT2	SNAP25
GRIA4	IQGAP1
GRIA4	MDM2
GRIA4	CAMK2B
GRIA4	PRKACA
PSENEN	SDC3
PSENEN	EPHB2
PSENEN	ERBB4
PSENEN	EPHB1
HIP1	CASP3
HIP1	CTTN
HIP1	CASP8
HIP1	HCLS1
HIP1	HTT
PPP1CB	CDC42
PPP1CB	RASSF5
PPP1CB	GRIN2B
PPP1CB	NCK1
PPP1CB	RAC1
PPP1CB	ROCK1
PPP1CB	PAK1
PPP1CB	RHOA
PPP1CB	MYH9
PPP1CB	PRKCE
PLD2	RPTOR
PLD2	ARF1
PLD2	ARF4
CD38	PRKG2
CD38	PRKG1
FBXW11	SUN2
ARHGEF2	EXOC2
ARHGEF2	LRP8
ARHGEF2	DYNLT1
CCNB1	PI4KA
CCNB1	RAB1B
CCNB1	GORASP1
CCNB1	USO1
CCNB1	GOLGA2
CCNB1	RAB1A
PLAUR	IGF2R
PPP3CC	PLCG2
PPP3CC	DNM1
HSPA4	DNAJC6
HSPA4	UBQLN2
HSPA4	GAK
HSPA4	CACNA1E
GLI3	DZIP1
COL1A1	BGN
GLI2	DZIP1
PARD3	JAM2
GNAT1	ITPR3
GNAT1	ITPR1
GNAT1	ITPR2
GRIA3	CAMK2B
GRIA3	LYN
GRIA3	MDM2
WNT5A	RAC3
WNT5A	UBQLN2
MRAS	PPP1CB
MRAS	PPP1CC
CACNG4	CAMK2B
S1PR1	TNFRSF1B
ERBB2IP	PPP1CA
RICTOR	MYO1C
CXCR1	DNM1
CXCR1	ARRB2
CXCR1	ARRB1
CFTR	SEC24B
CFTR	RAB5A
CFTR	STX1A
CFTR	RAB11A
CFTR	PDE3B
CFTR	SLC9A3R2
CFTR	RHOQ
CFTR	SNX3
CFTR	KCNN4
THBS1	HDAC1
THBS1	PSMD4
PPP3CA	PLCG1
PPP3CA	ITPR3
PPP3CA	ITPR1
PPP3CA	PLCG2
PPP3CA	ITPR2
PPP3CA	NCK1
PPP3CA	DNM1
NPRL3	LAMP1
FZD6	RAC3
PPP2R3A	NCK1
PPP2R3A	INPPL1
FPR1	TNFRSF1B
ACTN2	MYH2
IRF5	HLA-E
PPP1CC	RASSF5
PPP1CC	GRIN1
PPP1CC	NCK1
PPP1CC	ACTA1
PPP1CC	GRIN2B
PPP1CC	ROCK1
PPP1CC	ERBB2IP
PPP1CC	PRKCE
PPP1CC	INS
PPP1CC	INSR
IFIH1	CXCL10
IFIH1	IFNA1
